StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
38,Government Girls Middle School Muhammad Khan Magsi (Female),26.03197,68.32784,Female,Sindh,0,3,0,1102
40,Government Boys Primary School Naqur (Combined),26.05003,68.29944,Combined,Sindh,2,2,659,528
39,Government Boys Primary School Mitho Banglani (Combined),26.05724,68.3271,Combined,Sindh,2,2,446,427
78,Government Boys High  School Sabu Rahu (Comb),26.05991,68.32718,Combined,Sindh,2,2,775,689
77,Government Girls High School Sabu Rahu (Comb),26.06027,68.32935,Combined,Sindh,2,2,620,497
44,Government Boys Primary School Morio Lakho (Male),26.07489,68.25111,Male,Sindh,4,0,1308,0
76,Government Girls Primary School Dildar Abad (Female),26.07507,68.32694,Female,Sindh,0,3,0,960
43,Government Girls Community Centre Morio Lakho (Female),26.07588,68.24873,Female,Sindh,0,3,0,1084
75,Government Boys Primary School Dildar Abad (Male),26.07598,68.32672,Male,Sindh,3,0,1045,0
52,Government Boys High School Shah Inayat (Combined),26.07751,68.44848,Combined,Sindh,2,2,609,529
53,Government Boys Primary School Shah Inayat (Combined),26.07753,68.44848,Combined,Sindh,1,1,410,322
41,Government Boys Primary School Punhon Ghodaro (Male),26.08008,68.26439,Male,Sindh,3,0,898,0
42,Government Boys Middle  School Azizabad (Female),26.08156,68.26727,Female,Sindh,0,2,0,715
139,Government Boys Primary School Mari Sabqi (Male),26.0835,68.18331,Male,Sindh,2,0,670,0
131,Government Boys Primary School New Mari Jalbani (Combined),26.08376,68.19964,Combined,Sindh,2,2,425,434
138,Government Boys High School Mari Jalbani (Combined),26.08391,68.20745,Combined,Sindh,1,1,404,398
132,Government Boys Primary School Mari Jalbani (Combined),26.0841,68.20068,Combined,Sindh,2,2,483,508
134,Government Girls Middle School Mari Jalbani (Combined),26.08489,68.19782,Combined,Sindh,1,1,349,363
50,Government Boys Primary School Samo Magsi (Combined),26.08553,68.45481,Combined,Sindh,1,1,334,297
140,Government Girls Middle School Mari Sabqi (Female),26.08657,68.18686,Female,Sindh,0,2,0,641
45,Government Boys Primary School Mahmood Keerio (Combined),26.09621,68.28173,Combined,Sindh,2,2,662,586
121,Government Girls High School Mehrabpur (Female),26.09629,68.14886,Female,Sindh,0,3,0,864
119,Government Girls Primary School Mehrabpur (Female),26.09663,68.14866,Female,Sindh,0,2,0,501
116,Government Boys Primary School Ladho Chandio (Combined),26.0971,68.17335,Combined,Sindh,2,2,537,428
51,Government Boys Primary School Iban-ja-Unar (Combined),26.0993,68.461,Combined,Sindh,2,2,701,572
122,Government Boys Higher Secondary School Syed Shabbir Ahmed Shah Mehrab Pur (Male),26.10095,68.15103,Male,Sindh,2,0,882,0
120,Government Boys Primary School Mehrabpur (Male),26.10122,68.15003,Male,Sindh,2,0,543,0
123,Government Boys Primary School Bajhi Chandio (Combined),26.1014,68.16628,Combined,Sindh,2,2,530,504
36,Government Girls Community Model School Jam Khan Laghari (Combined),26.1015,68.315,Combined,Sindh,2,2,511,467
67,Government Boys Primary School Pyaro Jamali (Combined),26.10381,68.3605,Combined,Sindh,2,2,563,571
35,Government Boys Primary School Muhallah Faqeer Khaskheli (Combined),26.10515,68.31021,Combined,Sindh,1,1,425,378
48,Basic Health Unit Karam Jamali (Female),26.10842,68.4473,Female,Sindh,0,2,0,633
47,Government Boys Middle School Karam Jamali  (Male),26.10847,68.44713,Male,Sindh,2,0,611,0
34,Government Boys Primary School Batho (New) (Combined),26.11418,68.41966,Combined,Sindh,1,1,331,322
55,Government Boys Elementary School Allah Rakhio Jamali (Combined),26.11418,68.41969,Combined,Sindh,2,2,674,569
71,Government Boys Primary School Nadir Jamali (Combined),26.11525,68.34956,Combined,Sindh,1,2,382,426
137,Government Boys Primary School Rahmoo Keerio (Combined),26.11564,68.22906,Combined,Sindh,2,2,660,573
57,Government Boys High School Mehar Ali Jamali (Female),26.11579,68.39799,Female,Sindh,0,3,0,958
56,Government Boys Primary School Mehar Ali Jamali (Old) (Male),26.11588,68.39916,Male,Sindh,3,0,982,0
54,Government Girls Elementary School Mehar Ali Jamali   (Combined),26.1176,68.40367,Combined,Sindh,2,2,529,543
74,Government Girls Primary School Adam Brohi (Female),26.11941,68.36958,Female,Sindh,0,2,0,711
70,Government Boys Primary School Nabi Bux Khaskheli (Combined),26.11947,68.34073,Combined,Sindh,2,2,476,443
73,Government Boys Primary School Adam Brohi (Male),26.12014,68.37021,Male,Sindh,3,0,847,0
24,Government Boys Primary  School Sand Keerio (Male),26.12016,68.28727,Male,Sindh,3,0,1016,0
25,Government Boys Primary  School Sand Keerio (Female),26.12016,68.2873,Female,Sindh,0,3,0,946
72,Government Boys Primary School Manzoor Abad (Combined),26.12149,68.38334,Combined,Sindh,2,1,439,319
117,Government Boys Primary School Haji Jarrar Lund (Combined),26.12163,68.17267,Combined,Sindh,1,1,352,286
135,Government Girls Primary School  Bukhsho Magsi (Female),26.12163,68.195,Female,Sindh,0,2,0,668
133,Government Boys Primary School Jeando Lund (Combined),26.1219,68.20441,Combined,Sindh,2,2,540,531
136,Government Boys Primary School Bukhsho Magsi (Male),26.12196,68.19517,Male,Sindh,2,0,706,0
115,Government Boys Middle School Murad Ali Chandio (Combined),26.12477,68.14624,Combined,Sindh,2,2,617,560
13,Government Boys Primary School Main Urdu Old Sakrand (Male),26.12516,68.28526,Male,Sindh,3,0,955,0
14,Government Boys Primary School Main Urdu Old Sakrand (Female),26.12516,68.28529,Female,Sindh,0,3,0,880
