StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
326,GPS Qabool Jat ( Fully Improvised),24.06563307354382,67.69413355505341,Combined,Sindh,1,1,393,358
324,GPS Haji Ismail Katiar ( Fully Improvised ),24.11485619000132,67.65620419040097,Combined,Sindh,2,2,1031,824
323,GPS Haji Yousif Katiar,24.12490466969256,67.65298360898605,Combined,Sindh,1,1,401,295
307,GPS Shah Bunder,24.165214587527217,67.9030512387393,Combined,Sindh,1,1,397,302
311,GPS Karim Dino,24.179703411086845,67.89021781295618,Combined,Sindh,1,1,527,419
322,GPS Bagan @ Village Jalal Shah,24.18405871,67.75491548,Combined,Sindh,1,1,380,295
314,GPS Muhammad Shah Bari,24.18783976,68.14452334,Combined,Sindh,1,1,279,197
319,GPS Haji Abdul Ghani Jat,24.19013996,67.84560556,Combined,Sindh,1,1,641,317
315,GPS Haji Bhai Khan ( Partially Improvised ),24.19519056,68.08294871,Combined,Sindh,2,2,820,649
316,GPS Jaffar Bohar,24.19521142,68.12899077,Combined,Sindh,1,1,451,357
312,GPS Abdul Rahim Jat ( Partially Improvised ),24.19630616,68.09718085,Combined,Sindh,2,1,745,568
320,GPS Haji Allah Dino Mandro,24.2039066,67.81848285,Combined,Sindh,1,1,569,399
321,GPS Hussain Mendhro,24.20414634,67.76077794,Combined,Sindh,1,1,441,385
216,GPS Kook ( Partially Improvised ),24.2094062,68.16883447,Combined,Sindh,2,1,588,442
313,GBPS Haji Ahmed Jat,24.2326503,68.08930082,Combined,Sindh,1,1,589,394
317,GPS Gul Muhammad Laghari (Partially improvised),24.23296455,68.10755837,Combined,Sindh,2,1,697,598
309,GPS Aghedino Shah ( Partially Improvised ),24.233849024717045,67.90954902438324,Combined,Sindh,1,1,466,410
318,GPS Jeand Zangejo,24.23485325,67.78602662,Combined,Sindh,1,1,493,415
306,GPS Amoo Magsi ( Partially Improvised ),24.23982294456147,67.85327608633068,Combined,Sindh,1,1,418,293
300,GPS Saleh Khaskheli ( Partially Improvised ),24.251929027731055,67.83879866278129,Combined,Sindh,1,1,499,353
