StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
111,Govt. Primary School Rum Wali       (Combined)    *P,29.583182791563054,73.2517606129073,Combined,Punjab,2,1,1103,507
109,Govt. High School Raju Wala        (Male)    *P,29.611603119039877,73.27980364114072,Male,Punjab,2,0,1196,0
108,Govt. Girls Model Primary School Mahmood Pura            (Combined)    *P,29.61210985704317,73.21356226037332,Combined,Punjab,2,1,936,653
110,Basic Health Centre Raju Wala        (Female)    *P,29.615191129170615,73.27754292428584,Female,Punjab,0,2,0,662
107,Govt. Primary School Bhawan Shah           (Combined)    *P,29.642221642381624,73.29441475563374,Combined,Punjab,2,1,754,510
106,Govt. Primary School Bhawan Shah           (Combined)    *P,29.642221642381624,73.2944447556337,Combined,Punjab,1,1,543,354
114,Govt. Boys High School Ghulab Ali Rati Rampura        (Combined)    *P,29.6709271019152,73.27400890033351,Combined,Punjab,2,1,793,534
115,Govt. Boys High School Ghulab Ali Rati Rampura        (Combined)    *P,29.6709271019152,73.2740389003335,Combined,Punjab,1,1,503,369
112,Govt. Girls Middle School Ghulab Ali Teku Rampura     (Female)    *P,29.676898741393796,73.2712628748604,Female,Punjab,0,2,0,974
116,Basic Health Unit Ghulab Ali     (Female)    *P,29.690661052323495,73.2695499599107,Female,Punjab,0,2,0,1011
117,Basic Health Unit Ghulab Ali     (Male)    *P,29.690661052323495,73.2695799599107,Male,Punjab,3,0,1553,0
113,Basic Health Centre Ghulab Ali         (Male)    *P,29.690668963825573,73.26956779273677,Male,Punjab,3,0,1286,0
118,Govt. Primary School Bajik      (Combined)    *P,29.704466769767755,73.27140340400115,Combined,Punjab,1,1,672,447
119,Govt. Primary School Bajik      (Combined)    *P,29.704466769767755,73.2714334040011,Combined,Punjab,1,1,893,701
123,Govt. Boys Middle School Toba Rehman Shah          (Combined)    *P,29.737657922603464,73.314084264079,Combined,Punjab,2,2,1074,764
69,Govt. Primary School Basti Kokarian Wali     (Male)    *P,29.74209868855329,73.23144470348541,Male,Punjab,4,0,1905,0
70,Govt. Primary School Basti Akoka Mohallah Hiji Sheney Khan     (Female)    *P,29.746283575166856,73.23819692731107,Female,Punjab,0,3,0,1371
121,Govt. Girls High School Soondha  (Combined)    *P,29.74722,73.29144,Combined,Punjab,2,2,1053,757
120,Boys High School Soondha Part-II            (Combined)    *P,29.747798481395233,73.29733312043712,Combined,Punjab,2,1,734,509
122,Govt. Boys High School Soondha Part-I        (Combined)    *P,29.747810719819455,73.29731041307242,Combined,Punjab,1,1,595,444
74,Govt. Girls High School Doonga Boonga Middle Portion      (Female)    *P,29.750974464964536,73.24392945609924,Female,Punjab,0,3,0,1251
75,Govt. Girls High School Doonga Boonga Portion High      (Male)    *P,29.753619805231278,73.2392645588837,Male,Punjab,3,0,1592,0
71,Rural Health Center Doonga Bunnga       (Female)    *P,29.753639863866397,73.2446428751192,Female,Punjab,0,3,0,1544
76,Govt. Girls Higher Secondary School Donga Bonga     (Female)    *P,29.75365382322612,73.23933671922697,Female,Punjab,0,2,0,1182
72,Rural Health Centre Doonga Bunga      (Male)    *P,29.753666502936426,73.24463658088528,Male,Punjab,2,0,1202,0
73,Rural Health Centre Doonga Bunga      (Male)    *P,29.753666502936426,73.2446665808853,Male,Punjab,2,0,955,0
77,Govt. Girls Higher Secondary School Donga Bonga      (Male)    *P,29.7536767046799,73.2392915974703,Male,Punjab,3,0,1518,0
78,Govt. Higher Secondary School Doonga Bunga       (Male)    *P,29.753683432361377,73.23765514996003,Male,Punjab,2,0,1073,0
79,Govt. Higher Secondary School Doonga Bunga       (Male)    *P,29.753683432361377,73.23768514996,Male,Punjab,2,0,1052,0
80,Govt. Higher Secondary School Doonga Bunga       (Female)    *P,29.753687064908057,73.23764188932427,Female,Punjab,0,3,0,1542
138,Govt Boys primary  School Sundar Bishnoian        (Combined)    *P,29.76108032181039,73.31408392818234,Combined,Punjab,1,1,388,251
144,Al-Khair Public School Chak Bahma Hans (Combined)    *P,29.76138,73.31931,Combined,Punjab,1,1,648,454
127,Govt. Girls Elementary  School Dinan Bashnoian            (Combined)    *P,29.7660537737799,73.26378486036965,Combined,Punjab,2,1,911,666
126,Govt. Boys Middle School Dinan Wala       (Combined)    *P,29.76813823506369,73.26528043060485,Combined,Punjab,2,1,942,726
137,Govt Boys Primary  School Tara Jat        (Combined)    *P,29.788793494073282,73.3074834105044,Combined,Punjab,1,1,651,437
143,Govt. Girls Primary School  Kat Dial Wali (Combined)  *P,29.79647,73.25188,Combined,Punjab,2,2,1185,814
125,Govt. Girls Primary School Khiraj Pura          (Female)    *P,29.79904934282406,73.25367412617275,Female,Punjab,0,3,0,1296
124,Govt. Boys Primary School Khiraj Pura       (Male)    *P,29.79912095338532,73.25381287809029,Male,Punjab,4,0,1923,0
142,Govt. Boys High School Ram Pura         (Male)    *P,29.81108125778668,73.28702291835573,Male,Punjab,2,0,367,0
146,Govt. Girls Elementary School Korian wali       (Combined)    *P,29.811549137135763,73.33054138576485,Combined,Punjab,1,1,517,455
145,Govt. Boys Primary School Korian wali           (Combined)    *P,29.81259044576907,73.32894678344023,Combined,Punjab,1,1,671,499
140,Govt. Girls Elementary School Ram Pura          (Female)    *P,29.813640968272537,73.31433456748545,Female,Punjab,0,3,0,1533
141,Govt. Boys High School Ram Pura         (Male)    *P,29.815587521562957,73.30819949655749,Male,Punjab,4,0,1756,0
130,Govt.  Middle boys School Sawi Wala         (Male)    *P,29.842934254348425,73.2485995343401,Male,Punjab,2,0,1263,0
129,Govt Girls Middle School Swai wala            (Female)    *P,29.843967340768227,73.24513171858135,Female,Punjab,0,2,0,1023
